emotion, text
joy,Thankful for quick bonding time w/ my little brothers!  ♥ ☺
anger,When the person I'm having the affair with won't talk to me in public.
fear,At night when I was coming from Lingadzi Inn I heard a hyena crying in the Lingadzi jungle. I was alone.
joy,Oh look. Godswordislaw is back. Just in time for the holidays. 
joy,@marissamccorkel like shit! Pretty much im a alcoholic now since I can't take pain meds lol and to top that split my incision open 
joy," To some extent , he is . And what do you think we move to a better place ? I can't see him clearly from here . "
joy,"When I saw my brother in Church, and publically accept Jesus Christ as his saviour and Lord."
joy,sweet reunion &amp; fellowship with the worlds greatest 9th graders! you'll always be my 8th graders. @shay_stegmann @gracie_roe  
sadness,That awkward moment when u drop your fudgesicle down the stairs 
anger,"He watched , felt indignant but also justified because he was right . "
joy,"i am at home and in bed and it's only ten. what is wrong with me? oh yeah, this week kicked my butt. and i have ACT. "
fear,@_AndreasHuebner: is nothing else than perverted #faith. Your ability to fear is a proof of your ability to #believe.
sadness,"John had been moved to Norfolk and promoted to Corporal and he wrote to Anne nearly every day , loving letters which helped to make her grief for her mother more bearable . "
anger,"In the Commons , Labour MPs unleashed their anger at the Liberal Democrats for promising to back the Government . "
fear,After I had managed to fail my first year at University I was scared as to what I was going to do with my future. I didn't want a mundane 9-5 job and yet I didn't know if I could pay my way through an unsubsidized year at university to settle down and continue my studies.
anger,"She looked a little less resentful than earlier , and -- dare he hope it ? -- even slightly anxious for him . "
anger,One day I was really angry when all my food was eaten by a dog. My anger was against my mother because she was careless. She didn't keep the food in a hidden and proper place.
joy,Ugh ewh math first class tomorrow I'm gonna fal sleepy
surprise,should i tell u im coming over or just show up and prepare myself for the worst   @lexdan13 hahah 
fear,is an obstacle that you can easily get around by simply paying no attention to it. Retweet.
anger,"Dear ASU, please invest in bigger cereal bowls. Sincerely, my tuition is paying for mediocre sizes #hungered"
joy,gonna wake up early to study again tommorow morning 
joy,love mock exams! they fill my day with 
surprise,I get to see my brother @BigWilly78 tommrrow he needs to cook or take me to grandma cause I know she is lol
surprise,Put the wrong water bottle in my bookbag to take to the deer stand.  
sadness,It's an ugly day today . 
neutral, So what ? 
sadness,"Just saw an injured animal still moving in the middle of the road. If I wasn't already a vegetarian, I would be now. "
fear,"I 'm so frightened the feeling will go away , it 's too fragile , and I do so want it not to break . "
sadness,Tryinh to eat lettuce but I& my tongue :( 
surprise,Baked goat cheese! :D 
fear,op school bezig met fm aan! zeker vet haha
anger," Which leg do you want to have , right leg or left one ? "
fear,We must not give in to the  must face those things we the most...
joy,my bedroom is finally tidy after atleast 2 weeks living like a tramp 
joy,"Back to school,  back to work,  back to this shittty ass food #whereareyouchristmas"
surprise,There is a medium sized child creeping down the stairs right now who thinks I cant hear them! 
joy,Just went through all my photos from Europe!! can't wait to share!! It was such an amazing experience!! 
surprise, de plaat op  en win een bij DJ Marien/Marion op www.nradio2.nl vanaf 20.00 uur
shame,"Ashamed of having frightened me , he looked at me sweetly and began to sing Italian songs to make me forget the incident "" . "
surprise,@SaluteMe_Bxtchx no yu ask her both ring nd waist size to throw her off then 
joy,@fleur_de_lotus Just some crappy drizzle... but NOT SNOW!  
disgust,@peoplemag How dare you make Ryan Gosling the 10th sexiest man of the year? Have you no eyes? Have you no taste?!   
sadness,A child beaten up by his mother.
surprise,&quot;@ally_jay313 mockery &amp; child banter isn't an effective way to present yourself in a serious issue&quot;&lt;oh you changed the subject! 
surprise,My old friend who I've fought with told me happy birthday and hugged me today :) 
joy,"Figurative arts , even more than poetry , expressed the mixed feelings of elation over past victories and fear of future incursions which the Celts inspired . "
sadness,"Creggan had never in his short life felt so desolate , and try as he did he could not rest and fall asleep . "
fear,Is it a lack of  or a of #loneliness that make people put up with bullshit
joy,No one was more pleased about Dara 's demise than Roshanara Begum . 
sadness,"Sandra Cooper , 33 , midwife and founder of the Darlington Miscarriage Association , said :  Women who have had a miscarriage experience grief but they have no record of their unborn child . "
sadness,When my grandmother died.
fear,I hate trucks. I hate truckers. Omg. I hate trucks. 
joy,@SeanQuigley204 you have incredible talent!!!! Sharing your video with everyone :) #christmas
joy,So... @TobsterTot finally on the mend as the fever has broken...but off to the docs so @HallofBen can have his first jabs. 
neutral, Yes . 
anger, Get out of here ! 
joy,Conditioning in the freezing rain and snow.. #pumped
anger,Righteous never BLOWS UP or CLAMS UP. It surveys the situation &amp; obeys GOD in spite of satanic aggravation. Via @hartramsey
joy,"feel like @saffcarey, done all my jobs. washed the trailer out head to toe. and still in my PJs. "
joy,"On reaching the Fish I let out a cry of triumph , overjoyed to have got there while conveniently forgetting the Verdon-like wall which lay above . "
sadness," I've finished the first draft , but the professor said it's poorly written . I have to rewrite it . it's so depressing . "
joy,@TheBodyShopUK it brings me to know that i'm saving animals by not eating or using them in any aspect of my life now :) #Vegan
joy,Catching up on American Horror Story and filling out my FAFSA 
joy,Time to bust out this online final and then work the rest of the day. 
neutral," I'm no better than them . They say it's mindless to sit in front of a machine all the time , but I think it's stimulating . "
fear,Sumtimes d fear of being jobless after school gives me the creeps!     of an undergraduate
joy,“@RunningQuotes: Do the work. Do the analysis. But feel your run. Feel your race. Feel the that is #running~Kara Goucher”@teaganrozmus
anger,Michael Stein was trying unsuccessfully to calm an irate customer who was arguing about his bill . 
joy,"Even falling asleep as he was , McLeish was amused at Bruce Davidson 's hopeful , proprietorial air . "
joy,"Okay, I'm done. Not completely done but done for now. Gotta wake up in less then 5 hours. "
surprise,@_Keogh ya had a savage nite isnt the word haha.. Didnt expect a thing #dirtythirty
sadness,"A group of thirty or forty downcast men stood apart in the canter of thin ring , their heads and arms hanging slack in attitudes of despair . "
surprise,@ColeQuitMan will love me in about ten minutes! 
joy," to &gt;&gt; @BossMackTopSoil. his tweets make me laugh lol -Signed, Sincerely - a happy chick ^_^"
anger,"All through his life , though Ken could be austere and stubborn to a point which provoked exasperation , his evident holiness was so blended with cheerfulness that he seldom lost the admiration and affection of his contemporaries . "
fear,Never wear headphones when you're smoking. Your parents will indefinitely come up behind you and finally discover you're a toker. 
sadness,it is imperitive that i go to ear x-tacy tomorrow. i must say my goodbyes and buy a crap ton of cds.   
disgust,i hate hearing my mom eat.. 
fear,I'm expecting an extremely important phonecall any minute now #terror #opportunity
sadness,"Last year, when I took the college entrance examinations I failed the FUVEST. It was for me the most frustrating situation because I had studied all year long, and only thought about this."
sadness," I'm sorry , I haven't decided yet.Do you mind giving me a couple of minutes ? "
anger,@Molly_Rose63 I've had it happen so much I'm tired of it. I just feel like saying I am looking for love not sex fuck faces!! 
surprise,"Im very excited for christmas this year,finally get to spend it with my mom,its been 2 years now! I will be dressed as a raindeer! "
sadness,"But it's not about the money money money. As I said, I. won't. see. my. crush. "
fear,My nigger lived for 6 years thinking he was HIV+ because his ex died of it and he tested for the 1st time this week and came out HIV- 
neutral," Use the stairs , never the elevator . "
anger,A month ago when one of my fellow workers got a promotion over me. It was just a small promotion but recognition was involved.
anger,"The king was furious at being tricked again , and by nothing more than a pair of animals , at that . "
joy,"my day consists of homework, homework, homework #nerd"
fear,"One fears many things, for example one fears going to the dentist. but as far as I am concerned this feeling is connected with the examination session."
surprise,"Surprise af, ik zou graag een fotootje plaatsen maar da's nog te vroeg, teveel  #sinterklaas"
joy,Huddersfield lost at last. Our friend will be delighted as her husband will now shave his terrible beard off now the unbeaten run ended 
fear, 9. My biggest fear is needles. I can't stand getting a shot.  
sadness,"Instead of wiping your tears, wipe away the people who created them.& "
joy,work 6-midnight at family video #not
sadness,"Vincent agreed , too low-spirited to put up any resistance . "
joy,"---&gt;&gt; For the kingdom of God is not a matter of eating and drinking, but of righteousness, peace and in the Holy Spirit, (Rom 14:17)"
joy,Idk...I just love to dance...even if I'm not that great...there's always a song in my heart...
anger,"Shaw , however , worked off most of his exasperation over the weekend winning the Durham and Cleveland County veterans ' over 50 title . "
neutral, No . What ? 
sadness,The walk to the town centre is long enough to invigorate me and short enough to avoid getting miserable from the cold . 
surprise,soo this growing natural isnt tht bad. but ima change my hair up. 
fear,False Evidence Appearing Real.
fear,@Shyniii MULTI COMBO KILL ! (avec des bisounours sadiques dedans)
joy,The last  Weekend Beta Test starts 20.00h CET / 19.00h GMT tonight! Im invited! 
